Run Year,Spawn Year,Location,Total Tags,Origin,Prob Det,Prob Se,Alpha,Beta,N Tags,Prob Obs Zero,Priest Tag Rate,N Fish,Dwnstrm Site,Dwnstrm Bb,Upp Ci
2021,2022,CHL,1,Hatchery,0.414,0.229,1.5012582139928683,2.1249693560382146,15,0.04974433995101161,0.108,138.88888888888889,TUM_bb,38,38
2021,2022,HST,2,Natural,0.913119,0.09777526599299029,6.664304455537437,0.6340919807840469,2,0.017108310800999976,0.105,19.047619047619047,PRV_bb,0,0
2021,2022,ICM,6,Hatchery,0.964672,0.048399682643587655,13.06971247676845,0.4786360570010077,1,0.03532799999999999,0.108,9.25925925925926,ICL_bb,19,9.25925925925926
2021,2022,JD1,5,Hatchery,0.7220200000000001,0.14746740388641824,5.941749042928445,2.287592309012559,3,0.041503680340742054,0.108,27.77777777777778,PRA_bb,48,27.77777777777778
2021,2022,LBC,4,Natural,0.930588,0.08049125175446087,8.347363359613574,0.6226248194877836,2,0.011296867353000043,0.105,19.047619047619047,LMR_bb,113,19.047619047619047
2021,2022,LLC,2,Natural,0.859391,0.13416270967001226,4.910014707375702,0.8033505796423167,2,0.03777052354699995,0.105,19.047619047619047,OKL_bb,14,14
2021,2022,"NAL",5,Hatchery,0.753115,0.1375202189825191,6.651188109321501,2.180382247558259,3,0.030823056559102936,0.108,27.77777777777778,UWE_bb,10,10
2021,2022,OKC,2,Hatchery,0.916196,0.09561450442270776,6.778544429230336,0.6200301434924606,2,0.016165243871999947,0.108,18.51851851851852,ZSL_bb,9,9
2021,2022,RCT,12,Hatchery,0.98867,0.017378620457332048,35.68057982498869,0.4088937354396546,1,0.01133000000000004,0.108,9.25925925925926,ENL_bb,10,9.25925925925926
2021,2022,RSH,4,Natural,0.932944,0.07710972984001435,8.882962939522494,0.6384691502090379,2,0.010442417572,0.105,19.047619047619047,PRA_bb,43,19.047619047619047
